,Height,Label,Score,Width,filenames,x,y
0,1150,cloudSign,0.33199,925,Person31_4,718,1250
1,876,eyeball,0.27426999999999996,961,Person31_4,706,1432
2,1879,pumpkinNotes,0.42021000000000003,1983,Person31_4,1484,301
3,566,blueSunglasses,0.32208000000000003,1326,Person31_4,2080,10
4,858,hairClip,0.62141,888,Person31_4,730,1451
5,1669,stickerBox,0.30593000000000004,1156,Person31_4,596,1031
6,2074,birdCall,0.40715999999999997,2402,Person31_5,,
7,1383,cloudSign,0.31685,1055,Person31_5,,
8,1890,cupcakePaper,0.29066,1677,Person31_5,,
9,1003,eyeball,0.29575,1072,Person31_5,,
10,2397,pumpkinNotes,0.55292,2281,Person31_5,,
11,1083,blueSunglasses,0.43709,2178,Person31_5,,
12,2696,stickerBox,0.8846799999999999,2420,Person31_5,,
13,1706,canadaPencil,0.3448,2019,Person31_2,195,384
14,1551,cloudSign,0.28944000000000003,876,Person31_2,2311,858
15,1724,pumpkinNotes,0.37792,1679,Person31_2,1897,985
16,849,blueSunglasses,0.43428,1448,Person31_2,450,1040
17,1013,hairClip,0.48526,1192,Person31_2,1095,776
18,1405,stickerBox,0.28981999999999997,1265,Person31_2,13,1341
19,2323,canadaPencil,0.28151,1268,Person31_1,1031,742
20,900,eyeball,0.30839,575,Person31_1,1368,985
21,1253,metalKey,0.25084,1004,Person31_1,767,268
22,596,blueSunglasses,0.34288,730,Person31_1,2016,1922
23,1752,yellowBag,0.2702,1378,Person31_1,10,13
24,1861,birdCall,0.62264,1703,Person31_3,49,712
25,1159,cloudSign,0.37903000000000003,961,Person31_3,426,1451
26,666,eyeball,0.25791,998,Person31_3,2238,739
27,1058,pinkCandle,0.36618,353,Person31_3,2287,730
28,1788,pumpkinNotes,0.51702,1679,Person31_3,61,940
29,1122,redWhistle,0.30159,1338,Person31_3,475,694
30,548,blueSunglasses,0.40362,1472,Person31_3,1727,1204
31,1441,stickerBox,0.36443000000000003,1107,Person31_3,341,1305
32,1271,birdCall,0.2519,1425,Person23_25,14,1764
33,1432,cloudSign,0.40313000000000004,1062,Person23_25,1049,867
34,1140,metalKey,0.25842,1519,Person23_25,229,1896
35,1250,partyFavor,0.31255,1452,Person23_25,14,1785
36,1109,pinkCandle,0.29627,310,Person23_25,2285,424
37,2258,sign,0.4124,699,Person23_25,955,777
38,807,blueSunglasses,0.31645999999999996,1425,Person23_25,283,998
39,888,pinkCandle,0.32305,484,Person23_67,1640,968
40,1926,pumpkinNotes,0.25149,2003,Person23_67,1452,857
41,2339,yellowBag,0.40963,2608,Person23_67,14,666
42,1523,birdCall,0.28739000000000003,1398,Person23_69,1748,837
43,1039,cloudSign,0.29174,1197,Person23_69,108,11
44,2006,cupcakePaper,0.27510999999999997,2030,Person23_69,565,11
45,2057,partyFavor,0.32769000000000004,1775,Person23_69,1264,394
46,1140,pinkCandle,0.29249,444,Person23_69,1654,11
47,2712,sign,0.52886,874,Person23_69,1439,21
48,2158,silverStraw,0.29772,2500,Person23_69,323,525
49,2248,vancouverCards,0.29151,2500,Person23_69,336,787
50,726,eyeball,0.26564,686,Person23_7,1237,1059
51,1049,pinkCandle,0.34891,404,Person23_7,2514,1089
52,404,lavenderDie,0.9148799999999999,363,Person23_7,1371,1210
53,1674,yellowBag,0.4723,2890,Person23_7,1156,11
54,837,cloudSign,0.25334,713,Person23_83,1210,1613
55,2289,cupcakePaper,0.586,1869,Person23_83,646,263
56,1190,eyeball,0.28469,1049,Person23_83,780,384
57,2591,paperPlate,0.75851,2809,Person23_83,148,273
58,1170,pinkCandle,0.36658,417,Person23_83,3401,1240
59,1976,pumpkinNotes,0.47255,2218,Person23_83,457,202
60,2591,sign,0.31,1452,Person23_83,2299,303
61,444,blueSunglasses,0.34417,1183,Person23_83,1008,1825
62,1805,birdCall,0.34536,1788,Person23_23,390,918
63,1563,canadaPencil,0.25137,2527,Person23_23,54,1472
64,625,eyeball,0.40962,1183,Person23_23,686,1523
65,1129,pinkCandle,0.3495,390,Person23_23,242,11
66,2067,sign,0.35946,1062,Person23_23,2500,11
67,2148,yellowBag,0.35414,2702,Person23_23,1103,11
68,1875,birdCall,0.42638000000000004,1707,Person23_21,1882,676
69,1351,canadaPencil,0.31564000000000003,1775,Person23_21,1560,11
70,817,eyeball,0.25635,726,Person23_21,2648,1200
71,1281,pinkCandle,0.35194000000000003,404,Person23_21,2258,11
72,1402,redWhistle,0.75837,1331,Person23_21,2057,898
73,1704,sign,0.5484899999999999,1089,Person23_21,2191,11
74,1059,hairClip,0.5685600000000001,1035,Person23_21,2232,1109
75,2168,yellowBag,0.33482,2527,Person23_21,14,11
76,2218,cupcakePaper,0.26443,1721,Person23_71,2178,283
77,2742,yellowBag,0.27134,2608,Person23_71,1439,232
78,1210,cloudSign,0.27266,995,Person23_36,14,1644
79,978,pinkCandle,0.2737,242,Person23_36,2608,242
80,2934,sign,0.27195,941,Person23_36,3105,101
81,817,pinkCandle,0.30480999999999997,283,Person23_37,2594,132
82,1775,sign,0.29909,834,Person23_37,2326,11
83,908,hairClip,0.27152,995,Person23_37,2541,11
84,1523,birdCall,0.37253000000000003,1546,Person23_5,1385,192
85,1351,cloudSign,0.3792,1519,Person23_5,2245,1684
86,595,eyeball,0.32699,901,Person23_5,834,2198
87,2178,sign,0.52228,1143,Person23_5,2904,11
88,545,blueSunglasses,0.29681,1533,Person23_5,2258,474
89,2440,canadaPencil,0.30372,1963,Person23_73,1479,363
90,807,pinkCandle,0.33285,457,Person23_73,1654,2228
91,1371,sign,0.39314,1680,Person23_73,1035,1664
92,1492,birdCall,0.34355,1586,Person23_65,498,11
93,837,pinkCandle,0.32132,511,Person23_65,1062,1412
94,1170,cloudSign,0.43181,901,Person23_33,14,1019
95,2087,birdCall,0.42428,1801,Person23_19,686,565
96,2057,cupcakePaper,0.31801,1775,Person23_19,1560,11
97,948,eyeball,0.49315,1076,Person23_19,740,1361
98,1190,redWhistle,0.43043000000000003,1412,Person23_19,861,1190
99,384,blueSunglasses,0.30655,1049,Person23_19,1049,1623
100,2520,yellowBag,0.47412,1734,Person23_19,14,11
101,1654,birdCall,0.37314,1654,Person23_70,767,1210
102,605,eyeball,0.28963,914,Person23_70,1116,1543
103,2117,sign,0.61615,1398,Person23_70,2043,11
104,1200,hairClip,0.31145,861,Person23_70,861,1462
105,2218,yellowBag,0.29844,2473,Person23_70,1197,273
